Accession_number	Protein_name	GO_ID
O43506	Disintegrin and metalloproteinase domain-containing protein 20	{'GO:0004222', 'GO:0009897', 'GO:0005886', 'GO:0008584', 'GO:0007338', 'GO:0016020', 'GO:1990913', 'GO:0006508', 'GO:0008237'}
O43623	Zinc finger protein SNAI2	{'GO:0005654', 'GO:0010957', 'GO:0001227', 'GO:0043565', 'GO:0007219', 'GO:0090090', 'GO:0035921', 'GO:0045667', 'GO:0000978', 'GO:0048762', 'GO:2001240', 'GO:0005829', 'GO:0000785', 'GO:0032331', 'GO:0003273', 'GO:0000981', 'GO:2000811', 'GO:0005737', 'GO:0005515', 'GO:0030335', 'GO:0014032', 'GO:0032642', 'GO:0043518', 'GO:0070563', 'GO:0007605', 'GO:0043473', 'GO:0003180', 'GO:0003198', 'GO:1990837', 'GO:0001837', 'GO:0070888', 'GO:1902230', 'GO:0000977', 'GO:0000122', 'GO:0071364', 'GO:0006355', 'GO:0001649', 'GO:0003682', 'GO:0005634', 'GO:0060429', 'GO:0010839', 'GO:2000810', 'GO:0033629'}
O43790	Keratin, type II cuticular Hb6	{'GO:0005829', 'GO:0005515', 'GO:0031424', 'GO:0030280', 'GO:0005576', 'GO:0045109', 'GO:0045095'}
O43854	EGF-like repeat and discoidin I-like domain-containing protein 3	{'GO:0005201', 'GO:1903561', 'GO:0031012', 'GO:0005509', 'GO:0010811', 'GO:0005178', 'GO:0140144', 'GO:0005576', 'GO:0070062', 'GO:0140149'}
O43900	Prickle planar cell polarity protein 3	{'GO:0005886', 'GO:0005739', 'GO:0008270', 'GO:0005737', 'GO:0005515'}
O43915	Vascular endothelial growth factor D	{'GO:0038084', 'GO:0008083', 'GO:0031093', 'GO:0001666', 'GO:0050930', 'GO:0048010', 'GO:0005161', 'GO:0005172', 'GO:0042802', 'GO:0002040', 'GO:0005515', 'GO:0071542', 'GO:0016020', 'GO:0005576', 'GO:0060754', 'GO:0042056', 'GO:0050918', 'GO:0048018', 'GO:0008284', 'GO:0043185'}
O43918	Autoimmune regulator	{'GO:0006959', 'GO:0045893', 'GO:0008270', 'GO:0006417', 'GO:0045060', 'GO:0002507', 'GO:0097536', 'GO:0003677', 'GO:0042802', 'GO:0005737', 'GO:0016604', 'GO:0045944', 'GO:0005515', 'GO:0045182', 'GO:2000410', 'GO:0032722', 'GO:0006955', 'GO:0042393', 'GO:0000977', 'GO:0006355', 'GO:0002509', 'GO:0003682', 'GO:0005634', 'GO:0002458'}
O60269	G protein-regulated inducer of neurite outgrowth 2	{'GO:0005515', 'GO:0031175', 'GO:0005886'}
O60296	Trafficking kinesin-binding protein 2	{'GO:0019894', 'GO:0048311', 'GO:0005886', 'GO:0044295', 'GO:0022008', 'GO:0008333', 'GO:0031410', 'GO:0005769', 'GO:0005829', 'GO:0050771', 'GO:0019899', 'GO:0047496', 'GO:0005737', 'GO:0005515', 'GO:0006357', 'GO:0030911', 'GO:0005102', 'GO:0030425', 'GO:0048813', 'GO:0005739', 'GO:0006493', 'GO:0032839', 'GO:0006605', 'GO:0017022', 'GO:0098939', 'GO:0005634', 'GO:0043025', 'GO:0050811'}
O60304	Zinc finger protein 500	{'GO:0000978', 'GO:0005829', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
O60481	Zinc finger protein ZIC 3	{'GO:0060324', 'GO:1904888', 'GO:0035545', 'GO:0045893', 'GO:0042789', 'GO:0007224', 'GO:0035469', 'GO:0043565', 'GO:0090009', 'GO:0003228', 'GO:0003713', 'GO:1990841', 'GO:0000978', 'GO:0009880', 'GO:0007417', 'GO:0007368', 'GO:0070986', 'GO:0035108', 'GO:0071907', 'GO:0000981', 'GO:0019827', 'GO:0071910', 'GO:0042473', 'GO:0005737', 'GO:0030182', 'GO:0005515', 'GO:0035283', 'GO:0045944', 'GO:0048863', 'GO:0007369', 'GO:0001228', 'GO:0031490', 'GO:0048339', 'GO:0030718', 'GO:0030324', 'GO:0007498', 'GO:0001501', 'GO:0030900', 'GO:0001947', 'GO:1990837', 'GO:0060972', 'GO:0001840', 'GO:0048318', 'GO:0010467', 'GO:0000977', 'GO:0007507', 'GO:0003700', 'GO:0005634', 'GO:0098727', 'GO:0021766', 'GO:0021772', 'GO:0005654'}
O60687	Sushi repeat-containing protein SRPX2	{'GO:0098609', 'GO:0098978', 'GO:0051963', 'GO:0009986', 'GO:0036458', 'GO:0060076', 'GO:0048870', 'GO:0051965', 'GO:0071625', 'GO:0042802', 'GO:0005737', 'GO:0097060', 'GO:0045202', 'GO:0005515', 'GO:0005102', 'GO:0031012', 'GO:0090050', 'GO:0005576', 'GO:0140149', 'GO:0005201'}
O60688	Protein yippee-like 1	{'GO:0005634'}
O60765	Zinc finger protein 354A	{'GO:0000978', 'GO:0006355', 'GO:0005730', 'GO:0007605', 'GO:0005634', 'GO:0000981', 'GO:0006357', 'GO:0005654'}
O75074	Low-density lipoprotein receptor-related protein 3	{'GO:0045669', 'GO:0005886', 'GO:0006898', 'GO:0045599', 'GO:0016020', 'GO:0016192', 'GO:0150104', 'GO:0010629', 'GO:0010628'}
O75077	Disintegrin and metalloproteinase domain-containing protein 23	{'GO:0050806', 'GO:0042734', 'GO:0007417', 'GO:0004222', 'GO:0005515', 'GO:0005886', 'GO:1903817', 'GO:0005178', 'GO:0098978', 'GO:0005576', 'GO:0098820', 'GO:0006508', 'GO:0008237', 'GO:0051963'}
O75078	Disintegrin and metalloproteinase domain-containing protein 11	{'GO:0043204', 'GO:0061368', 'GO:0042734', 'GO:0004222', 'GO:0007229', 'GO:0031012', 'GO:0045184', 'GO:0061367', 'GO:0005886', 'GO:0030424', 'GO:0005178', 'GO:0006508', 'GO:0008237', 'GO:0033555'}
O75106	Amine oxidase [copper-containing] 2	{'GO:0005507', 'GO:0048038', 'GO:0009308', 'GO:0005886', 'GO:0009055', 'GO:0007601', 'GO:0005737', 'GO:0008131', 'GO:0005515', 'GO:0006805'}
O75123	Zinc finger protein 623	{'GO:0000978', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
O75143	Autophagy-related protein 13	{'GO:0035032', 'GO:0034045', 'GO:0010508', 'GO:0019901', 'GO:0005789', 'GO:0000045', 'GO:0034727', 'GO:0008285', 'GO:0005829', 'GO:0016236', 'GO:0005776', 'GO:1903059', 'GO:1990316', 'GO:0005737', 'GO:0006914', 'GO:0034497', 'GO:0005515', 'GO:0000407', 'GO:0005739', 'GO:0019887', 'GO:0042127', 'GO:0019209', 'GO:1903749', 'GO:0098780', 'GO:0000423'}
O75173	A disintegrin and metalloproteinase with thrombospondin motifs 4	{'GO:0004222', 'GO:0006508', 'GO:0030167', 'GO:0031012', 'GO:0008270', 'GO:0001501', 'GO:0030198', 'GO:0008233', 'GO:0005576', 'GO:0022617', 'GO:0005515', 'GO:0008237', 'GO:0002020', 'GO:0016607'}
O75326	Semaphorin-7A	{'GO:0005886', 'GO:0030215', 'GO:0045499', 'GO:0050919', 'GO:0098793', 'GO:0070374', 'GO:0005515', 'GO:0030335', 'GO:0050727', 'GO:0071526', 'GO:0009897', 'GO:0007229', 'GO:0031012', 'GO:0006955', 'GO:0060907', 'GO:0016020', 'GO:0098982', 'GO:0001649', 'GO:0007411', 'GO:0005178', 'GO:0045773', 'GO:0090128'}
O75346	Zinc finger protein 253	{'GO:0000978', 'GO:0006355', 'GO:0045892', 'GO:0043565', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
O75373	Zinc finger protein 737	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0005634', 'GO:0000981'}
O75382	Tripartite motif-containing protein 3	{'GO:0070534', 'GO:0061630', 'GO:0043161', 'GO:0030425', 'GO:0004842', 'GO:0007399', 'GO:0005794', 'GO:0046872', 'GO:0008270', 'GO:0061351', 'GO:0042802', 'GO:0016567', 'GO:0034141', 'GO:0005737', 'GO:0005515', 'GO:0000209', 'GO:0005769'}
O75398	Deformed epidermal autoregulatory factor 1 homolog	{'GO:0045893', 'GO:0045892', 'GO:0001227', 'GO:0001843', 'GO:0003677', 'GO:0009653', 'GO:0000785', 'GO:0001662', 'GO:0000981', 'GO:0005737', 'GO:0005515', 'GO:0006357', 'GO:0008542', 'GO:0048706', 'GO:0090575', 'GO:0006366', 'GO:0005576', 'GO:0033599', 'GO:0000977', 'GO:0000122', 'GO:0001650', 'GO:0005634', 'GO:0005654', 'GO:0007281'}
O75437	Zinc finger protein 254	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
O75467	Zinc finger protein 324A	{'GO:0000978', 'GO:0006355', 'GO:0008283', 'GO:0005634', 'GO:0000981', 'GO:0000082', 'GO:0006357'}
O75509	Tumor necrosis factor receptor superfamily member 21	{'GO:0006959', 'GO:0005886', 'GO:0097252', 'GO:0002250', 'GO:0042552', 'GO:0032714', 'GO:0032696', 'GO:0007165', 'GO:0051402', 'GO:0001783', 'GO:0005515', 'GO:0071356', 'GO:0030889', 'GO:0042130', 'GO:0006915', 'GO:0031642', 'GO:0048713', 'GO:0007413', 'GO:0050852', 'GO:0032693'}
O75582	Ribosomal protein S6 kinase alpha-5	{'GO:0035556', 'GO:0045892', 'GO:0099175', 'GO:0106310', 'GO:0005524', 'GO:0043687', 'GO:0044024', 'GO:0000287', 'GO:0006338', 'GO:0001818', 'GO:0005737', 'GO:0005515', 'GO:0045944', 'GO:0006468', 'GO:0038202', 'GO:0004672', 'GO:0044022', 'GO:0006355', 'GO:0035175', 'GO:0005634', 'GO:0007411', 'GO:0070498', 'GO:0004674', 'GO:0005654', 'GO:0004713'}
O75677	Ret finger protein-like 1	{'GO:0061630', 'GO:0010972', 'GO:0005634', 'GO:0005737', 'GO:0032436', 'GO:0045087', 'GO:0010468'}
O75678	Ret finger protein-like 2	{'GO:0061630', 'GO:0005634', 'GO:0005737', 'GO:0045087', 'GO:0010468'}
O75679	Ret finger protein-like 3	{'GO:0061630', 'GO:0005634', 'GO:0005737', 'GO:0005515', 'GO:0045087', 'GO:0010468'}
O75815	Breast cancer anti-estrogen resistance protein 3	{'GO:0007264', 'GO:0005925', 'GO:0005515', 'GO:0019900', 'GO:0009410', 'GO:0043547', 'GO:0007165', 'GO:0008284', 'GO:0043410', 'GO:0008286', 'GO:0001784', 'GO:0005737', 'GO:0016020', 'GO:0086100', 'GO:0005085', 'GO:0007173'}
O75820	Zinc finger protein 189	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
O75829	Leukocyte cell-derived chemotaxin 1	{'GO:0006029', 'GO:0160108', 'GO:0001501', 'GO:0012505', 'GO:0016525', 'GO:0001937', 'GO:0005515'}
O75943	Cell cycle checkpoint protein RAD17	{'GO:0000781', 'GO:0033314', 'GO:1990166', 'GO:0006281', 'GO:0140463', 'GO:0000785', 'GO:0031389', 'GO:0005515', 'GO:0003689', 'GO:0042325', 'GO:0000077', 'GO:0005730', 'GO:0006325', 'GO:0000076', 'GO:0005694', 'GO:0140445', 'GO:0005634', 'GO:0006974', 'GO:0031573', 'GO:0035861', 'GO:0005654', 'GO:0008156'}
O76009	Keratin, type I cuticular Ha3-I	{'GO:0005829', 'GO:0005856', 'GO:0005198', 'GO:0030280', 'GO:0030855', 'GO:0005576', 'GO:0045109', 'GO:0002009', 'GO:0045095'}
O76011	Keratin, type I cuticular Ha4	{'GO:0005829', 'GO:0045109', 'GO:0005856', 'GO:0005198', 'GO:0030280', 'GO:0030855', 'GO:0005576', 'GO:0008544', 'GO:0005515', 'GO:0002009', 'GO:0045095'}
O76015	Keratin, type I cuticular Ha8	{'GO:0005829', 'GO:0045109', 'GO:0005856', 'GO:0005198', 'GO:0030280', 'GO:0030855', 'GO:0070062', 'GO:0005515', 'GO:0002009', 'GO:0045095'}
O76076	CCN family member 5	{'GO:0140149', 'GO:0031012', 'GO:0007165', 'GO:0005634', 'GO:0005178', 'GO:0045597', 'GO:0008201', 'GO:0007267', 'GO:0005576', 'GO:0005515', 'GO:0007155'}
O94769	Extracellular matrix protein 2	{'GO:0031012', 'GO:0070052', 'GO:0030198', 'GO:0010811', 'GO:0005178', 'GO:0140150', 'GO:0008201', 'GO:0007160', 'GO:0044877', 'GO:0005614', 'GO:0005518'}
O94880	PHD finger protein 14	{'GO:2000584', 'GO:0002314', 'GO:0000122', 'GO:0000785', 'GO:2000791', 'GO:0008270', 'GO:0005634', 'GO:0042393', 'GO:0006325', 'GO:0140566', 'GO:0048286', 'GO:0005737', 'GO:0005515', 'GO:0072201', 'GO:0005694', 'GO:0008285'}
O94889	Kelch-like protein 18	{'GO:0043161', 'GO:0005515', 'GO:0016567', 'GO:0005737', 'GO:1990756', 'GO:1901992', 'GO:0031463'}
O94892	Zinc finger protein 432	{'GO:0003677', 'GO:0005654', 'GO:0006355', 'GO:0005634', 'GO:0030674', 'GO:0005515', 'GO:0006974', 'GO:0003684'}
O94985	Calsyntenin-1	{'GO:0000139', 'GO:0019894', 'GO:0051965', 'GO:0005509', 'GO:0005789', 'GO:0098632', 'GO:0005634', 'GO:0045211', 'GO:0098839', 'GO:0001540', 'GO:0016020', 'GO:0043005', 'GO:0005515', 'GO:0007156', 'GO:0042988', 'GO:0007155', 'GO:0009986'}
O95025	Semaphorin-3D	{'GO:0038191', 'GO:0001755', 'GO:0071526', 'GO:0005886', 'GO:0030215', 'GO:0007411', 'GO:0030900', 'GO:0005576', 'GO:0045499', 'GO:0050919', 'GO:0030335'}
O95081	Arf-GAP domain and FG repeat-containing protein 2	{'GO:0005096', 'GO:0007289', 'GO:0001675', 'GO:0005737', 'GO:0016020', 'GO:0031410', 'GO:0045109'}
O95125	Zinc finger protein 202	{'GO:0000978', 'GO:1990837', 'GO:0000122', 'GO:0006355', 'GO:0045892', 'GO:0001227', 'GO:0003700', 'GO:0006629', 'GO:0000981', 'GO:0005634', 'GO:0005515', 'GO:0006357'}
O95185	Netrin receptor UNC5C	{'GO:0030426', 'GO:0005886', 'GO:0019901', 'GO:0009986', 'GO:0061643', 'GO:0007165', 'GO:0030027', 'GO:0030424', 'GO:0007420', 'GO:0045202', 'GO:0005515', 'GO:0005043', 'GO:0015631', 'GO:0030425', 'GO:0016020', 'GO:1990791', 'GO:0030175', 'GO:0038007', 'GO:0007411', 'GO:0005042', 'GO:0043025'}
O95196	Chondroitin sulfate proteoglycan 5	{'GO:0005796', 'GO:0000139', 'GO:0008083', 'GO:0005886', 'GO:0005789', 'GO:0098978', 'GO:0009986', 'GO:1900026', 'GO:0007165', 'GO:0031103', 'GO:0097060', 'GO:0005515', 'GO:0106091', 'GO:0007010', 'GO:0016020', 'GO:0005576', 'GO:0046907', 'GO:0007399', 'GO:0030660', 'GO:0098982', 'GO:0005794', 'GO:0045211', 'GO:0043202', 'GO:2000300'}
O95201	Transcriptional repressor RHIT	{'GO:0000978', 'GO:0000977', 'GO:0000122', 'GO:1901030', 'GO:0006355', 'GO:0001227', 'GO:0008270', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0010729'}
O95202	Mitochondrial proton/calcium exchanger protein	{'GO:0099093', 'GO:0051562', 'GO:0015386', 'GO:0140141', 'GO:0005743', 'GO:1902600', 'GO:0043022', 'GO:0051260', 'GO:0034214', 'GO:0005515', 'GO:0051560', 'GO:0007005', 'GO:1900069', 'GO:0015369', 'GO:0005509', 'GO:0005739', 'GO:0006851', 'GO:0007007', 'GO:0006816', 'GO:0042407'}
O95294	RasGAP-activating-like protein 1	{'GO:0005829', 'GO:1902531', 'GO:0046580', 'GO:0005886', 'GO:0005096', 'GO:0035556', 'GO:0007165', 'GO:1903861', 'GO:0071277', 'GO:0005543'}
O95361	E3 ubiquitin-protein ligase TRIM16	{'GO:0003677', 'GO:0005829', 'GO:0061630', 'GO:0045893', 'GO:0019966', 'GO:0032089', 'GO:0032526', 'GO:0008270', 'GO:0045618', 'GO:0032731', 'GO:0016605', 'GO:0005737', 'GO:0060416', 'GO:0048386', 'GO:0005515'}
O95365	Zinc finger and BTB domain-containing protein 7A	{'GO:0000381', 'GO:0097680', 'GO:0035035', 'GO:0045892', 'GO:0001227', 'GO:0043565', 'GO:0050681', 'GO:0060766', 'GO:0043249', 'GO:0001222', 'GO:0000978', 'GO:0003677', 'GO:0006338', 'GO:0030183', 'GO:0000981', 'GO:0005737', 'GO:0045746', 'GO:0005515', 'GO:0006357', 'GO:0045444', 'GO:0140297', 'GO:0046332', 'GO:0006351', 'GO:0006325', 'GO:0030512', 'GO:0034504', 'GO:1990837', 'GO:0000122', 'GO:0070418', 'GO:0003700', 'GO:0006110', 'GO:0005634', 'GO:0035861', 'GO:0042981', 'GO:2000677'}
O95376	E3 ubiquitin-protein ligase ARIH2	{'GO:0061630', 'GO:0008270', 'GO:0071425', 'GO:0006511', 'GO:0046872', 'GO:0005737', 'GO:0005515', 'GO:0070534', 'GO:0048588', 'GO:0043161', 'GO:0016567', 'GO:0070936', 'GO:0031466', 'GO:0004842', 'GO:1903749', 'GO:0005634', 'GO:0000151', 'GO:0031624', 'GO:0005654', 'GO:0000209'}
O95388	CCN family member 4	{'GO:0051239', 'GO:0050729', 'GO:0045597', 'GO:0030177', 'GO:0030316', 'GO:0045669', 'GO:0048661', 'GO:0032331', 'GO:0007165', 'GO:0045595', 'GO:0001817', 'GO:0005737', 'GO:0005515', 'GO:0007155', 'GO:0014911', 'GO:0031012', 'GO:0008201', 'GO:0007267', 'GO:0005576', 'GO:0042593', 'GO:0060348', 'GO:0090303', 'GO:0140149', 'GO:0001649', 'GO:0005178', 'GO:0045599'}
O95389	Cellular communication network factor 6	{'GO:0140149', 'GO:0031012', 'GO:0051881', 'GO:0007165', 'GO:0005739', 'GO:0050793', 'GO:0005178', 'GO:0045597', 'GO:0008201', 'GO:0016525', 'GO:0007267', 'GO:1903426', 'GO:0005576', 'GO:0008285', 'GO:0007155'}
O95407	Tumor necrosis factor receptor superfamily member 6B	{'GO:0050728', 'GO:0043066', 'GO:0140319', 'GO:0140368', 'GO:0016020', 'GO:0005576', 'GO:0005515'}
O95436	Sodium-dependent phosphate transport protein 2B	{'GO:0005829', 'GO:0005436', 'GO:0035435', 'GO:0035725', 'GO:0044341', 'GO:0006817', 'GO:0016324', 'GO:0031982', 'GO:0031526', 'GO:0005886', 'GO:0030643', 'GO:0043627', 'GO:0005903', 'GO:0016020', 'GO:0005515', 'GO:0005654', 'GO:0031402', 'GO:0042301'}
O95460	Matrilin-4	{'GO:0120216', 'GO:0031012', 'GO:0005509', 'GO:0030198', 'GO:0140144', 'GO:0005576', 'GO:0005515', 'GO:0140149'}
O95633	Follistatin-related protein 3	{'GO:0005654', 'GO:0030154', 'GO:0030510', 'GO:0032926', 'GO:0001968', 'GO:0045944', 'GO:0030514', 'GO:0048185', 'GO:0045671', 'GO:0005634', 'GO:0005576', 'GO:0005788', 'GO:0090101', 'GO:0005515', 'GO:0006357', 'GO:0002244', 'GO:0022409'}
O95780	Zinc finger protein 682	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0005634', 'GO:0000981'}
O95863	Zinc finger protein SNAI1	{'GO:0010957', 'GO:0045893', 'GO:0019900', 'GO:0045892', 'GO:0001227', 'GO:0043565', 'GO:0007219', 'GO:0060070', 'GO:0001707', 'GO:0048762', 'GO:0000978', 'GO:0070828', 'GO:0005721', 'GO:0005737', 'GO:0005515', 'GO:0030335', 'GO:0043518', 'GO:0003180', 'GO:0010718', 'GO:0003198', 'GO:1990837', 'GO:0001837', 'GO:0070888', 'GO:1902230', 'GO:0000977', 'GO:0000122', 'GO:0006355', 'GO:0001649', 'GO:0005634', 'GO:2000810', 'GO:0005654'}
O95886	Disks large-associated protein 3	{'GO:0098981', 'GO:0005886', 'GO:0023052', 'GO:0099010', 'GO:0099572', 'GO:0098978', 'GO:0001540', 'GO:0050804', 'GO:0045202', 'GO:0005515', 'GO:0031594', 'GO:0014069', 'GO:0060090'}
O95965	Integrin beta-like protein 1	{'GO:0008305', 'GO:0016477', 'GO:0033627', 'GO:0007229', 'GO:0005886', 'GO:0005178', 'GO:0098609', 'GO:0007160', 'GO:0005576', 'GO:0005925', 'GO:0007155', 'GO:0009986'}
O95967	EGF-containing fibulin-like extracellular matrix protein 2	{'GO:0060414', 'GO:0042803', 'GO:1903561', 'GO:1904706', 'GO:0048251', 'GO:1904831', 'GO:0140144', 'GO:0005515', 'GO:0035904', 'GO:0097084', 'GO:0031012', 'GO:0005509', 'GO:1904026', 'GO:0008201', 'GO:0005576', 'GO:0070062', 'GO:1904028', 'GO:0071953', 'GO:0140149', 'GO:0005201', 'GO:1905609', 'GO:0005604'}
O95980	Reversion-inducing cysteine-rich protein with Kazal motifs	{'GO:0090210', 'GO:0005886', 'GO:0060070', 'GO:0010716', 'GO:0060828', 'GO:0030198', 'GO:0042986', 'GO:0002040', 'GO:0030336', 'GO:0005515', 'GO:0090263', 'GO:0001955', 'GO:0017147', 'GO:1903053', 'GO:0045765', 'GO:0008191', 'GO:0044853', 'GO:0015026', 'GO:0005576', 'GO:1990909', 'GO:1902004', 'GO:0004866'}
O95985	DNA topoisomerase 3-beta-1	{'GO:0003677', 'GO:0003916', 'GO:0006265', 'GO:0140226', 'GO:0003917', 'GO:0003723', 'GO:0005634', 'GO:0006281', 'GO:0140225', 'GO:0006310', 'GO:0000793', 'GO:0005515'}
P00734	Prothrombin	{'GO:0010544', 'GO:0030193', 'GO:0005796', 'GO:0008083', 'GO:0030195', 'GO:0072562', 'GO:0005886', 'GO:0004175', 'GO:0051480', 'GO:1900182', 'GO:0030168', 'GO:1900016', 'GO:0070945', 'GO:0051918', 'GO:0030194', 'GO:0005515', 'GO:0009611', 'GO:0032967', 'GO:0005102', 'GO:0009897', 'GO:0031012', 'GO:0005509', 'GO:0007186', 'GO:0070493', 'GO:0001530', 'GO:0008201', 'GO:0042730', 'GO:0061844', 'GO:0005576', 'GO:0070062', 'GO:0072377', 'GO:0031638', 'GO:0046427', 'GO:0051281', 'GO:0050878', 'GO:0070053', 'GO:0007166', 'GO:0048018', 'GO:1900738', 'GO:0004252', 'GO:0045861', 'GO:2000379', 'GO:0008233', 'GO:0005788', 'GO:1905370', 'GO:0006508', 'GO:0048712', 'GO:0007596'}
P00736	Complement C1r subcomponent	{'GO:0006958', 'GO:0006956', 'GO:0072562', 'GO:0140313', 'GO:0006508', 'GO:0006955', 'GO:0005509', 'GO:0004252', 'GO:0042802', 'GO:0005576', 'GO:0070062', 'GO:0005602', 'GO:0005515', 'GO:0106139', 'GO:0008236', 'GO:0031638', 'GO:0009986'}
P00740	Coagulation factor IX	{'GO:0005796', 'GO:0005886', 'GO:0032991', 'GO:0004175', 'GO:0046872', 'GO:0005515', 'GO:0031012', 'GO:0005509', 'GO:0016020', 'GO:0005576', 'GO:0070062', 'GO:0031638', 'GO:0007597', 'GO:0004252', 'GO:0008233', 'GO:0005788', 'GO:1905370', 'GO:0006508', 'GO:0007596'}
P00742	Coagulation factor X	{'GO:0005796', 'GO:0007596', 'GO:0006508', 'GO:0009897', 'GO:0005886', 'GO:0032008', 'GO:0005509', 'GO:0004252', 'GO:0016020', 'GO:0005576', 'GO:0005788', 'GO:1905370', 'GO:0072377', 'GO:0005515', 'GO:0005543', 'GO:0031638', 'GO:0030335'}
P00747	Plasminogen	{'GO:0072562', 'GO:0019900', 'GO:0005886', 'GO:0031093', 'GO:0051919', 'GO:0004175', 'GO:2000048', 'GO:0009986', 'GO:0019904', 'GO:0051918', 'GO:0019899', 'GO:1990405', 'GO:0010812', 'GO:0005515', 'GO:0008236', 'GO:0005102', 'GO:0043536', 'GO:0009897', 'GO:0031012', 'GO:0051087', 'GO:0030574', 'GO:0042730', 'GO:0005576', 'GO:0070062', 'GO:0002020', 'GO:0034185', 'GO:0051702', 'GO:0004252', 'GO:0006508', 'GO:0022617', 'GO:0007596'}
P00748	Coagulation factor XII	{'GO:0005886', 'GO:0051787', 'GO:0051919', 'GO:0051788', 'GO:0045087', 'GO:0002353', 'GO:0005791', 'GO:0030194', 'GO:0016540', 'GO:0005515', 'GO:0010756', 'GO:0031012', 'GO:0005509', 'GO:0005576', 'GO:0070062', 'GO:0031638', 'GO:0007597', 'GO:0002542', 'GO:0004252', 'GO:0008233', 'GO:0016485', 'GO:1905370', 'GO:0006508', 'GO:0007596'}
P00749	Urokinase-type plasminogen activator	{'GO:0005886', 'GO:0070821', 'GO:0031639', 'GO:0033628', 'GO:0005925', 'GO:0038195', 'GO:0009986', 'GO:0007165', 'GO:0006935', 'GO:0051918', 'GO:0098637', 'GO:0061041', 'GO:0097180', 'GO:0005515', 'GO:0030335', 'GO:0030155', 'GO:0009897', 'GO:2000097', 'GO:2001044', 'GO:0014910', 'GO:0042730', 'GO:0005576', 'GO:0070062', 'GO:0035579', 'GO:0045742', 'GO:0048018', 'GO:0090091', 'GO:0010757', 'GO:0004252', 'GO:1905370', 'GO:0051917', 'GO:0006508', 'GO:0010755'}
P01042	Kininogen-1	{'GO:0072562', 'GO:0030195', 'GO:0005886', 'GO:0031093', 'GO:0008270', 'GO:0007204', 'GO:0042311', 'GO:0031640', 'GO:0004869', 'GO:0007165', 'GO:0005179', 'GO:0005515', 'GO:0005102', 'GO:0031012', 'GO:0008201', 'GO:0061844', 'GO:0005576', 'GO:0070062', 'GO:0051241', 'GO:0043065', 'GO:0045861', 'GO:0005788', 'GO:0007162'}
P01130	Low-density lipoprotein receptor	{'GO:0051246', 'GO:0090118', 'GO:0045177', 'GO:0005886', 'GO:0034384', 'GO:0015914', 'GO:0050729', 'GO:0006898', 'GO:0005768', 'GO:0061889', 'GO:0010008', 'GO:0001920', 'GO:0150094', 'GO:1905907', 'GO:0036020', 'GO:0060090', 'GO:0010628', 'GO:0006909', 'GO:0097242', 'GO:0030169', 'GO:0007616', 'GO:0048844', 'GO:0005769', 'GO:0005770', 'GO:0009986', 'GO:1990666', 'GO:0051248', 'GO:0005905', 'GO:0032050', 'GO:0006629', 'GO:0042802', 'GO:0010989', 'GO:0001540', 'GO:0005515', 'GO:0010629', 'GO:1903979', 'GO:1905167', 'GO:0071813', 'GO:0030669', 'GO:0009897', 'GO:0010899', 'GO:0070508', 'GO:0005509', 'GO:0097443', 'GO:0016020', 'GO:0061771', 'GO:0030301', 'GO:0051241', 'GO:0016323', 'GO:0002020', 'GO:0090181', 'GO:0001523', 'GO:0005041', 'GO:0030299', 'GO:0005764', 'GO:0034383', 'GO:0071404', 'GO:0005794', 'GO:0006897', 'GO:0030229', 'GO:0071398', 'GO:0036477', 'GO:0010867', 'GO:0034381', 'GO:0043235', 'GO:0042632'}
P01871	Immunoglobulin heavy constant mu	{'GO:0072562', 'GO:0071755', 'GO:0005886', 'GO:0002331', 'GO:0002250', 'GO:0050829', 'GO:0050853', 'GO:0045087', 'GO:0006952', 'GO:0009986', 'GO:0042834', 'GO:0019814', 'GO:0003697', 'GO:0031210', 'GO:0005515', 'GO:0071757', 'GO:0006955', 'GO:0005576', 'GO:0070062', 'GO:0019731', 'GO:0071756', 'GO:0071753', 'GO:0034987', 'GO:0003823'}
P02765	Alpha-2-HS-glycoprotein	{'GO:0072562', 'GO:0030502', 'GO:0031093', 'GO:0030500', 'GO:0034774', 'GO:0019210', 'GO:0004869', 'GO:0005515', 'GO:0050727', 'GO:0006907', 'GO:0031012', 'GO:0050766', 'GO:0001501', 'GO:0006953', 'GO:0005576', 'GO:0070062', 'GO:0004866', 'GO:0005794', 'GO:0046627', 'GO:0005788'}
